Timestamp,Phys_Label,AI_Label,AI_Conf,Final_Result,Neck_Change,Nose_Drop
09:06:26.936,Hunch(Neck),good,0.51,Bad,0.69,0.04
09:06:28.742,Hunch(Neck),hunch,0.74,Bad,0.72,0.11
09:06:30.546,Good,tilt,0.44,Good,1.07,0.07
09:06:32.324,Good,hunch,0.46,Good,1.02,0.04
09:06:34.185,Good,hunch,0.74,Bad,0.98,0.07
09:06:35.986,Good,good,0.49,Good,0.94,0.07
09:06:37.873,Good,hunch,0.40,Good,1.03,0.08
09:06:39.798,Good,hunch,0.74,Bad,1.02,0.08
09:06:41.724,Good,hunch,0.67,Good,1.00,0.00
09:06:43.809,Good,tilt,0.98,Bad,0.83,-0.01
09:06:45.748,Good,tilt,0.98,Bad,0.84,0.01
09:06:47.609,Good,tilt,0.98,Bad,0.81,0.04
09:06:49.458,Good,tilt,0.97,Bad,0.88,0.10
09:06:51.321,Good,good,0.40,Good,0.92,0.06
09:06:53.201,Good,hunch,0.68,Good,0.96,-0.09
09:06:55.147,Good,good,0.47,Good,1.01,0.04
09:06:57.037,Good,good,0.60,Good,1.00,0.00
09:06:58.976,Good,hunch,0.81,Good,0.93,0.01
09:07:00.872,Lean(Nose),hunch,0.70,Bad,0.32,0.32
09:07:02.803,Good,hunch,0.52,Good,1.07,-0.14
09:07:04.718,Good,hunch,0.90,Good,0.82,-0.07
09:07:06.540,Hunch(Neck),hunch,0.93,Bad,0.78,-0.01
09:07:08.367,Hunch(Neck),hunch,0.93,Bad,0.78,0.04
09:07:10.246,Lean(Nose),hunch,0.96,Bad,0.71,0.16
09:07:12.140,Lean(Nose),hunch,0.97,Bad,0.66,0.19
09:07:14.057,Hunch(Neck),hunch,0.94,Bad,0.75,0.06
09:07:15.955,Hunch(Neck),hunch,0.94,Bad,0.76,0.06
09:07:17.740,Good,hunch,0.72,Bad,1.16,0.00
09:07:19.627,Good,good,0.46,Good,1.07,0.02
09:07:21.462,Good,hunch,0.40,Good,0.98,0.06
09:07:23.254,Good,hunch,0.40,Good,1.01,0.06
09:07:25.236,Good,hunch,0.49,Good,0.91,0.04
09:07:27.206,Good,hunch,0.40,Good,1.03,0.05
09:07:29.059,Lean(Nose),tilt,0.89,Bad,0.71,0.19
09:09:28.709,Good,hunch,0.83,Good,0.96,0.05
09:09:31.480,Good,good,0.85,Good,0.99,-0.03
09:09:34.253,Lean(Nose),hunch,0.90,Bad,0.39,0.28
09:09:37.382,Hunch(Neck),hunch,0.94,Bad,0.78,0.10
09:09:40.195,Hunch(Neck),hunch,0.92,Bad,0.74,0.10
09:09:42.978,Lean(Nose),hunch,0.79,Bad,0.72,0.20
09:09:45.944,Hunch(Neck),hunch,0.64,Bad,0.63,0.12
09:09:48.764,Lean(Nose),lean,0.88,Bad,0.33,0.38
09:09:51.648,Lean(Nose),lean,0.51,Bad,0.37,0.25
09:09:54.429,Lean(Nose),hunch,0.37,Bad,0.08,0.54
09:09:57.674,Lean(Nose),hunch,0.43,Bad,0.12,0.64
09:10:00.575,Good,good,0.49,Good,1.05,-0.20
09:10:03.331,Good,good,0.45,Good,0.93,0.12
09:10:06.210,Hunch(Neck),hunch,0.44,Bad,0.57,0.09
09:10:09.027,Good,hunch,0.74,Bad,0.90,0.13
09:10:11.947,Good,good,0.62,Good,0.86,0.09
09:10:14.703,Good,good,0.56,Good,1.00,-0.08
09:10:17.633,Good,good,0.94,Good,1.01,-0.10
09:10:20.391,Good,good,0.74,Good,0.92,0.09
09:10:23.306,Good,hunch,0.58,Good,0.91,0.09
09:10:26.075,Good,good,0.65,Good,1.06,-0.08
09:10:29.419,Hunch(Neck),lean,0.66,Bad,0.51,0.13
09:10:32.184,Good,good,0.85,Good,1.01,-0.09
09:10:34.990,Lean(Nose),lean,0.73,Bad,0.71,0.28
09:10:37.768,Good,good,0.80,Good,1.02,-0.15
09:10:40.688,Good,good,0.92,Good,1.02,-0.13
09:10:43.458,Lean(Nose),lean,0.89,Bad,0.49,0.32
09:10:46.350,Good,good,0.84,Good,0.85,0.09
09:10:49.232,Good,good,0.53,Good,0.96,-0.19
09:10:52.062,Good,good,0.87,Good,1.07,-0.25
09:10:54.975,Good,good,0.47,Good,1.01,-0.14
09:10:57.736,Good,good,1.00,Good,1.06,-0.05
09:11:00.658,Good,good,0.95,Good,1.07,-0.02
09:11:03.442,Good,good,0.94,Good,1.06,-0.02
09:11:06.342,Good,good,0.93,Good,1.05,0.01
09:11:09.113,Good,good,0.93,Good,0.98,0.04
09:11:12.048,Good,good,0.58,Good,1.07,0.05
09:11:14.908,Good,good,0.85,Good,1.02,0.04
09:11:17.831,Good,hunch,0.72,Bad,0.93,0.12
09:11:20.732,Good,hunch,0.72,Bad,0.96,0.05
09:11:23.734,Good,hunch,0.71,Bad,0.98,0.07
09:11:26.735,Good,hunch,0.72,Bad,0.94,0.08
09:11:29.602,Good,good,0.83,Good,0.94,0.07
09:11:32.563,Good,good,0.88,Good,0.98,0.04
09:11:35.459,Good,hunch,0.72,Good,0.97,0.04
09:11:38.411,Good,hunch,0.86,Good,0.91,0.03
09:11:41.321,Good,hunch,0.88,Good,0.95,0.11
09:11:44.320,Good,hunch,0.83,Good,0.96,0.07
09:11:47.165,Good,hunch,0.92,Good,0.86,0.11
09:11:50.025,Good,hunch,0.93,Good,0.84,0.16
09:11:52.962,Good,good,0.89,Good,1.19,-0.07
09:11:55.752,Good,good,0.87,Good,1.17,-0.00
09:11:58.617,Good,hunch,0.55,Good,1.05,-0.01
09:12:01.505,Good,hunch,0.59,Good,1.06,-0.00
09:12:04.302,Good,good,0.85,Good,0.95,0.08
09:12:07.141,Good,good,0.45,Good,0.82,0.14
09:12:09.968,Good,good,0.80,Good,0.90,0.07
09:12:12.761,Lean(Nose),hunch,0.81,Bad,0.71,0.22
09:12:15.611,Hunch(Neck),hunch,0.77,Bad,0.45,0.07
09:12:18.474,Lean(Nose),lean,0.93,Bad,0.27,0.43
09:12:21.795,Lean(Nose),lean,0.76,Bad,0.07,0.37
09:12:24.759,Lean(Nose),hunch,0.76,Bad,0.65,0.19
09:12:27.602,Lean(Nose),tilt,0.37,Bad,0.18,0.32
09:12:30.470,Hunch(Neck),hunch,0.82,Bad,0.69,0.06
09:12:33.735,Good,good,0.86,Good,0.99,0.06
09:12:36.626,Good,good,0.86,Good,0.98,-0.09
09:12:39.571,Good,good,0.74,Good,0.91,0.02
09:12:42.378,Good,tilt,0.69,Good,1.02,-0.21
09:12:45.314,Good,tilt,0.71,Good,0.97,-0.04
09:12:48.136,Good,good,0.76,Good,0.93,-0.08
09:12:51.050,Good,tilt,0.73,Good,0.89,-0.00
09:12:53.925,Lean(Nose),tilt,0.46,Bad,0.70,0.15
09:12:56.843,Good,good,0.53,Good,0.91,-0.01
09:12:59.719,Good,good,0.64,Good,0.96,-0.02
09:13:02.805,Hunch(Neck),hunch,0.94,Bad,0.79,0.04
09:13:05.757,Good,good,0.87,Good,1.02,-0.20
09:13:08.652,Good,good,0.48,Good,0.89,0.07
09:13:11.609,Good,hunch,0.55,Good,0.84,0.11
09:13:14.454,Good,hunch,0.89,Good,0.90,0.00
09:13:17.414,Hunch(Neck),hunch,0.96,Bad,0.73,0.11
09:13:20.319,Good,hunch,0.95,Good,0.85,0.02
09:13:23.336,Good,hunch,0.61,Good,0.94,-0.16
09:13:26.260,Lean(Nose),hunch,0.70,Bad,0.50,0.24
09:13:29.127,Lean(Nose),lean,0.60,Bad,0.54,0.25
09:13:32.050,Lean(Nose),hunch,0.70,Bad,0.46,0.19
09:13:34.902,Lean(Nose),tilt,0.73,Bad,0.37,0.23
09:13:37.799,Hunch(Neck),tilt,0.67,Bad,0.75,0.12
09:13:40.660,Good,hunch,0.64,Good,0.96,-0.04
09:13:43.600,Hunch(Neck),lean,0.66,Bad,0.32,0.15
09:13:47.403,Hunch(Neck),good,0.43,Bad,0.44,0.11
09:13:50.254,Hunch(Neck),good,0.73,Bad,0.77,0.03
09:13:53.179,Lean(Nose),tilt,0.57,Bad,0.60,0.19
09:13:55.983,Good,good,0.61,Good,0.91,0.09
09:13:58.905,Good,hunch,0.69,Good,0.80,0.02
09:14:01.754,Lean(Nose),hunch,0.55,Bad,0.52,0.22
09:14:04.556,Good,hunch,0.53,Good,0.87,0.15
09:14:07.420,Good,hunch,0.55,Good,0.80,0.16
09:14:10.356,Good,tilt,0.85,Bad,1.01,0.06
09:14:13.266,Lean(Nose),hunch,0.55,Bad,0.78,0.19
09:14:16.129,Good,tilt,0.81,Bad,0.82,0.14
09:14:19.028,Good,hunch,0.38,Good,0.91,0.10
09:14:21.891,Good,hunch,0.54,Good,0.85,0.11
09:17:29.535,Good,hunch,0.65,Good,0.93,-0.02
09:17:32.325,Good,hunch,0.55,Good,0.98,0.03
09:17:35.111,Good,hunch,0.55,Good,1.06,-0.03
09:17:38.021,Good,good,0.44,Good,0.98,-0.04
09:17:40.833,Good,good,0.81,Good,0.92,0.04
09:17:43.631,Good,good,0.79,Good,0.97,-0.03
09:17:46.457,Good,good,0.81,Good,1.00,-0.01
09:17:49.371,Good,good,0.78,Good,0.90,0.08
09:17:52.179,Hunch(Neck),good,0.80,Bad,0.80,0.13
09:17:55.090,Good,good,0.98,Good,0.89,0.05
09:17:57.842,Good,good,0.70,Good,0.86,0.07
09:18:00.704,Lean(Nose),lean,0.98,Bad,0.23,0.42
09:18:03.506,Good,good,0.85,Good,0.81,0.07
09:18:06.354,Good,good,0.49,Good,0.94,0.06
09:18:09.133,Good,good,0.80,Good,0.90,0.07
09:18:12.023,Good,good,0.79,Good,0.88,0.05
09:18:14.762,Good,good,0.81,Good,0.89,0.08
09:18:17.693,Good,good,0.74,Good,0.88,0.11
09:18:20.484,Good,good,0.57,Good,0.94,-0.01
09:18:23.393,Good,good,0.78,Good,0.93,-0.02
09:18:26.175,Good,good,0.77,Good,0.92,0.06
09:18:29.064,Good,good,0.81,Good,0.95,0.02
09:18:31.820,Good,good,0.67,Good,0.86,0.06
09:18:34.719,Lean(Nose),lean,0.73,Bad,0.45,0.33
09:18:37.538,Hunch(Neck),good,0.57,Bad,0.68,0.14
09:18:40.323,Lean(Nose),good,0.94,Bad,0.76,0.17
09:18:43.232,Good,good,0.82,Good,0.85,0.03
09:18:46.023,Good,good,0.47,Good,1.02,-0.04
09:18:48.866,Good,good,0.78,Good,1.05,0.00
09:18:51.651,Lean(Nose),hunch,0.39,Bad,0.72,0.19
09:18:54.581,Lean(Nose),good,0.46,Bad,0.75,0.17
09:18:57.394,Good,good,0.88,Good,0.94,0.15
09:19:00.230,Good,good,0.79,Good,0.87,0.09
09:19:02.998,Good,good,0.78,Good,0.90,0.13
09:19:05.910,Good,good,0.74,Good,0.88,0.09
09:19:08.713,Good,good,0.75,Good,0.86,0.09
09:19:11.573,Good,good,0.82,Good,0.93,0.06
09:19:14.474,Good,good,0.86,Good,0.97,0.05
09:19:17.278,Lean(Nose),good,0.66,Bad,0.77,0.18
09:19:20.099,Good,good,0.81,Good,0.96,0.07
09:19:22.875,Good,good,0.83,Good,0.96,0.10
09:19:25.789,Good,good,0.76,Good,0.94,0.09
09:19:28.587,Good,good,0.86,Good,1.01,0.06
09:19:31.499,Good,good,0.85,Good,0.95,0.05
09:19:34.266,Good,good,0.79,Good,1.05,0.04
09:19:37.163,Good,good,0.87,Good,1.04,0.03
09:19:39.970,Good,good,0.83,Good,1.07,0.04
09:19:42.880,Good,good,0.87,Good,0.98,0.03
09:19:46.255,Good,good,0.91,Good,1.01,-0.24
09:19:49.103,Good,good,0.92,Good,1.09,-0.40
09:19:51.964,Good,good,0.98,Good,1.05,-0.30
09:19:54.816,Good,good,0.95,Good,1.07,-0.27
09:19:57.709,Good,good,0.90,Good,0.81,0.09
09:20:00.552,Good,good,0.98,Good,1.07,-0.32
09:20:03.445,Good,good,0.96,Good,1.09,-0.32
09:20:06.284,Good,good,0.92,Good,1.05,-0.35
09:20:09.135,Good,good,0.95,Good,0.85,0.08
09:20:11.915,Good,good,0.99,Good,1.05,-0.25
09:20:14.770,Good,good,0.88,Good,0.99,-0.15
09:20:17.642,Good,good,0.92,Good,1.00,-0.32
09:20:20.438,Good,good,0.99,Good,1.01,-0.25
09:20:23.298,Good,good,0.99,Good,0.94,-0.13
09:20:26.064,Good,good,0.88,Good,0.83,0.13
09:20:28.999,Good,good,0.93,Good,1.08,-0.30
09:20:31.803,Good,good,0.59,Good,0.81,0.10
09:20:34.650,Good,good,0.98,Good,0.93,-0.08
09:20:37.442,Good,good,0.95,Good,1.00,-0.19
09:20:40.352,Good,good,0.92,Good,1.03,-0.38
09:20:43.218,Good,good,0.93,Good,1.02,-0.26
09:20:46.030,Good,good,0.94,Good,1.01,-0.24
09:20:48.902,Good,good,0.92,Good,1.05,-0.29
09:20:51.695,Good,good,0.92,Good,0.99,-0.28
09:20:54.550,Good,good,0.83,Good,1.06,-0.40
09:20:57.326,Good,good,0.88,Good,0.96,-0.38
09:21:00.231,Good,good,0.85,Good,0.98,-0.33
09:21:03.007,Good,good,0.93,Good,1.05,-0.32
09:21:05.962,Good,good,0.87,Good,1.05,-0.31
09:21:08.743,Good,good,0.90,Good,1.08,-0.40
09:21:11.630,Good,good,0.84,Good,1.07,-0.41
09:21:14.540,Good,good,0.98,Good,0.99,-0.19
09:21:17.368,Good,good,0.93,Good,0.98,-0.23
09:21:20.210,Good,good,0.94,Good,0.99,-0.20
09:21:23.020,Good,good,0.94,Good,0.92,-0.02
09:21:25.941,Good,good,0.79,Good,0.92,0.05
09:21:28.741,Good,good,0.50,Good,0.97,0.04
09:21:31.562,Good,good,0.80,Good,0.90,0.07
09:21:34.348,Good,good,0.75,Good,0.97,0.08
09:21:37.270,Good,good,0.77,Good,0.96,0.03
09:21:40.122,Lean(Nose),good,0.71,Bad,0.75,0.15
09:21:42.946,Lean(Nose),tilt,0.46,Bad,0.65,0.15
09:21:45.836,Good,good,0.83,Good,0.97,0.07
09:21:48.659,Good,good,0.80,Good,0.91,0.05
09:21:51.541,Good,good,0.78,Good,0.84,0.07
09:21:54.311,Good,good,0.77,Good,0.91,0.06
09:21:57.226,Good,good,0.77,Good,0.99,0.06
09:22:00.062,Good,good,0.61,Good,0.89,0.07
09:22:02.887,Good,good,0.73,Good,0.98,0.07
09:22:05.711,Good,tilt,0.80,Bad,1.04,0.04
09:22:08.544,Good,tilt,0.80,Bad,1.03,0.05
09:22:11.379,Good,good,0.69,Good,0.87,0.03
09:22:14.196,Good,good,0.72,Good,0.89,0.03
09:22:17.020,Good,good,0.73,Good,0.91,0.01
09:22:19.846,Good,good,0.74,Good,0.90,0.05
09:22:22.771,Good,good,0.78,Good,0.93,0.05
09:22:25.607,Good,good,0.76,Good,0.97,0.04
09:22:28.420,Good,tilt,0.80,Bad,1.01,0.07
09:22:31.193,Good,good,0.83,Good,0.92,0.01
09:22:34.032,Good,good,0.76,Good,0.93,0.08
09:22:36.828,Good,good,0.79,Good,1.00,0.03
09:22:39.734,Good,good,0.74,Good,0.80,0.11
09:22:42.495,Good,good,0.82,Good,1.01,-0.07
09:22:45.376,Good,tilt,0.80,Bad,1.02,0.01
09:22:48.145,Good,good,0.76,Good,1.03,0.01
09:22:51.048,Good,good,0.80,Good,0.85,0.08
09:22:53.826,Good,good,0.80,Good,0.97,0.06
09:22:56.730,Good,good,0.48,Good,0.99,0.06
09:22:59.561,Good,good,0.79,Good,1.01,0.05
09:23:02.342,Good,good,0.79,Good,1.01,0.03
09:23:05.305,Good,good,0.67,Good,0.97,0.05
09:23:08.090,Good,good,0.78,Good,0.90,0.11
09:23:10.930,Good,good,0.76,Good,0.84,0.09
09:23:13.701,Good,good,0.76,Good,0.89,0.11
09:23:16.631,Good,good,0.80,Good,0.88,0.13
09:23:19.402,Good,good,0.49,Good,0.90,0.13
09:23:22.312,Good,good,0.79,Good,0.97,0.02
09:23:25.109,Good,good,0.86,Good,0.92,0.06
09:23:27.980,Good,tilt,0.79,Bad,0.98,0.09
09:23:30.790,Good,good,0.79,Good,0.96,0.07
09:23:33.645,Good,good,0.79,Good,0.96,0.08
09:23:36.453,Good,good,0.77,Good,0.93,0.11
09:23:39.262,Good,good,0.78,Good,0.91,0.14
09:23:42.172,Good,good,0.76,Good,1.01,0.02
09:23:44.997,Good,good,0.76,Good,0.89,0.13
09:23:47.817,Good,good,0.83,Good,0.92,0.09
09:23:50.645,Hunch(Neck),good,0.53,Bad,0.79,0.14
09:23:53.467,Good,good,0.69,Good,0.81,0.12
09:23:56.250,Lean(Nose),good,0.73,Bad,0.77,0.16
09:23:59.202,Good,good,0.82,Good,0.84,0.12
09:24:02.003,Good,good,0.81,Good,0.81,0.12
09:24:04.809,Good,good,0.73,Good,0.92,0.16
09:24:07.750,Good,good,0.82,Good,1.03,0.07
09:24:10.514,Good,good,0.79,Good,0.88,0.12
09:24:13.429,Good,good,0.99,Good,0.91,0.01
09:24:16.191,Good,good,0.89,Good,0.89,0.07
09:24:19.049,Hunch(Neck),good,0.70,Bad,0.73,0.15
09:24:21.841,Good,good,0.98,Good,1.02,-0.29
09:24:24.693,Good,good,0.95,Good,0.86,-0.02
09:24:27.498,Good,good,0.95,Good,0.97,-0.16
09:24:30.336,Good,good,0.92,Good,0.87,-0.08
09:24:33.134,Good,good,0.93,Good,0.92,-0.13
09:24:36.088,Good,good,0.92,Good,0.87,-0.07
09:24:38.908,Good,good,0.93,Good,0.91,-0.13
09:24:41.760,Good,good,0.91,Good,0.92,-0.19
09:24:44.591,Good,good,0.92,Good,0.90,-0.05
09:24:47.465,Good,good,0.90,Good,0.88,-0.06
09:24:50.291,Good,good,0.92,Good,0.86,-0.04
09:24:53.051,Good,good,0.90,Good,0.87,-0.04
09:24:56.066,Good,good,0.89,Good,0.84,-0.04
09:24:58.815,Good,good,0.91,Good,0.87,-0.07
09:25:01.708,Good,good,0.89,Good,0.87,-0.09
09:25:04.515,Good,good,0.90,Good,0.87,-0.10
09:25:07.417,Good,good,0.91,Good,0.89,-0.13
09:25:10.139,Hunch(Neck),good,0.85,Bad,0.70,0.07
09:25:12.082,Hunch(Neck),hunch,0.36,Bad,0.73,-0.09
09:25:14.373,Hunch(Neck),tilt,0.52,Bad,0.59,0.08
09:25:17.285,Hunch(Neck),hunch,0.48,Bad,0.68,-0.08
09:25:19.838,Hunch(Neck),hunch,0.48,Bad,0.58,0.10
09:25:21.820,Lean(Nose),hunch,0.41,Bad,0.56,0.15
09:25:23.698,Hunch(Neck),hunch,0.46,Bad,0.57,0.14
09:25:25.520,Hunch(Neck),hunch,0.33,Bad,0.72,-0.18
09:25:27.432,Good,good,0.99,Good,0.84,0.00
09:25:29.262,Good,hunch,0.57,Good,0.85,-0.05
09:25:31.759,Good,good,0.79,Good,0.89,-0.03
09:25:34.559,Good,good,0.86,Good,0.88,-0.08
09:25:37.445,Good,hunch,0.73,Good,0.84,0.01
09:25:40.239,Hunch(Neck),hunch,0.84,Bad,0.79,-0.04
09:25:43.170,Good,good,1.00,Good,1.00,-0.13
09:25:45.935,Good,good,0.97,Good,1.00,-0.12
09:25:48.843,Good,good,0.61,Good,0.86,0.02
09:25:51.614,Good,good,0.59,Good,0.83,0.08
09:25:54.535,Good,good,0.64,Good,0.86,0.07
09:25:57.319,Good,tilt,0.46,Good,0.95,0.07
09:26:00.176,Good,tilt,0.84,Bad,0.91,0.02
09:26:02.968,Good,good,0.55,Good,0.89,0.02
09:26:05.897,Good,good,0.66,Good,0.83,0.07
09:26:08.672,Good,good,0.60,Good,0.83,0.13
09:26:11.603,Good,good,0.57,Good,0.83,0.07
09:26:14.390,Good,good,0.74,Good,0.93,-0.01
09:26:17.205,Good,hunch,0.46,Good,0.99,0.03
09:26:20.069,Good,good,0.62,Good,0.93,0.04
09:26:22.934,Good,good,0.70,Good,0.90,0.06
09:26:25.765,Good,good,0.61,Good,0.94,0.06
09:26:28.554,Good,good,0.63,Good,0.94,0.02
09:26:31.493,Good,good,0.51,Good,0.95,0.04
09:26:34.295,Good,good,0.73,Good,0.93,0.07
09:26:37.122,Good,tilt,0.42,Good,0.95,0.08
09:26:39.905,Good,good,0.46,Good,0.80,0.12
09:26:42.751,Good,good,0.58,Good,0.87,0.11
09:26:45.532,Good,good,0.52,Good,0.92,0.01
09:26:48.433,Good,hunch,0.50,Good,0.94,0.04
09:26:51.215,Good,hunch,0.51,Good,0.90,0.09
09:26:54.067,Good,hunch,0.64,Good,0.90,0.11
09:26:56.892,Good,hunch,0.51,Good,0.87,0.08
09:26:59.681,Lean(Nose),hunch,0.40,Bad,0.74,0.15
09:27:02.610,Lean(Nose),hunch,0.49,Bad,0.79,0.16
09:27:05.453,Good,hunch,0.58,Good,0.90,0.07
09:27:08.305,Good,hunch,0.69,Good,0.90,0.09
09:27:11.105,Good,good,0.58,Good,0.87,0.07
09:27:13.947,Good,hunch,0.49,Good,0.85,0.11
09:27:16.772,Good,hunch,0.71,Bad,0.97,0.04
09:27:19.622,Lean(Nose),hunch,0.42,Bad,0.73,0.17
09:27:22.469,Hunch(Neck),hunch,0.53,Bad,0.75,0.15
09:27:25.302,Good,hunch,0.72,Bad,0.81,0.13
09:27:28.133,Good,hunch,0.72,Bad,0.82,0.11
09:27:30.950,Lean(Nose),hunch,0.61,Bad,0.73,0.16
09:27:33.800,Good,hunch,0.66,Good,0.99,0.05
09:27:36.615,Good,good,0.59,Good,0.89,0.08
09:27:39.423,Good,good,0.73,Good,1.02,0.02
09:27:42.210,Good,good,0.63,Good,0.91,0.10
09:27:45.123,Lean(Nose),tilt,0.85,Bad,0.62,0.21
09:27:47.927,Good,good,0.91,Good,0.85,0.06
09:27:50.748,Hunch(Neck),tilt,0.66,Bad,0.75,0.07
09:27:53.675,Good,hunch,0.76,Bad,0.92,-0.09
09:27:56.488,Good,good,0.87,Good,0.81,-0.01
09:27:59.315,Good,good,0.85,Good,0.85,0.01
09:28:02.089,Good,good,0.83,Good,0.86,-0.02
09:28:05.027,Good,good,0.89,Good,0.89,-0.12
09:28:07.794,Good,good,0.86,Good,0.85,-0.10
09:28:10.738,Good,good,0.80,Good,0.83,0.01
09:28:13.526,Good,good,0.88,Good,0.86,-0.03
09:28:16.457,Good,good,0.88,Good,0.92,-0.10
09:28:19.232,Good,good,0.85,Good,0.89,-0.04
09:28:22.140,Good,good,0.86,Good,0.86,-0.01
09:28:24.934,Good,good,0.90,Good,0.92,-0.10
09:28:27.874,Good,good,0.90,Good,0.91,-0.16
09:28:30.673,Good,good,0.87,Good,0.91,-0.08
09:28:33.515,Good,good,0.84,Good,0.88,-0.07
09:28:36.447,Good,good,0.81,Good,0.88,-0.03
09:28:39.219,Good,good,0.85,Good,0.92,-0.11
09:28:42.173,Good,good,0.83,Good,0.93,-0.10
09:28:44.949,Good,good,0.82,Good,0.90,-0.06
09:28:47.849,Good,good,0.81,Good,0.88,-0.05
09:28:50.631,Good,good,0.80,Good,0.87,-0.04
09:28:53.575,Good,good,0.73,Good,0.88,-0.02
09:28:56.364,Good,good,0.81,Good,0.88,-0.03
09:28:59.168,Good,good,0.81,Good,0.89,-0.03
09:29:01.983,Good,good,0.87,Good,0.93,-0.02
09:29:04.809,Good,good,0.85,Good,0.92,-0.08
09:29:07.574,Good,good,0.88,Good,0.97,-0.15
09:29:10.512,Good,good,0.85,Good,0.93,-0.12
09:29:13.357,Good,good,0.86,Good,0.94,-0.18
09:29:16.139,Good,good,0.86,Good,0.97,-0.15
09:29:19.012,Good,good,0.88,Good,0.93,-0.13
09:29:21.767,Good,good,0.87,Good,0.96,-0.12
09:29:24.713,Good,good,0.87,Good,0.96,-0.17
09:29:27.513,Good,good,0.85,Good,0.96,-0.13
09:29:30.343,Good,hunch,0.81,Bad,0.84,0.07
09:29:33.139,Good,hunch,0.82,Bad,0.84,0.11
09:29:35.971,Good,hunch,0.83,Bad,0.87,0.07
09:29:38.739,Good,hunch,0.85,Bad,0.87,0.06
09:29:41.675,Good,hunch,0.84,Bad,0.89,0.08
09:29:44.499,Good,hunch,0.84,Bad,0.84,0.07
09:29:47.327,Good,hunch,0.70,Good,0.92,0.05
09:29:50.248,Good,hunch,0.76,Bad,0.85,0.07
09:29:53.044,Hunch(Neck),hunch,0.71,Bad,0.79,0.14
09:29:55.941,Good,hunch,0.55,Good,0.89,0.06
09:29:58.723,Good,good,0.35,Good,0.88,0.09
09:30:01.569,Good,good,0.55,Good,0.94,0.07
09:30:04.394,Good,hunch,0.65,Good,0.88,0.09
09:30:07.288,Good,hunch,0.44,Good,1.00,0.03
09:30:10.090,Good,good,0.57,Good,0.99,0.03
09:30:12.909,Good,good,0.55,Good,0.88,0.01
09:30:15.708,Good,good,0.45,Good,0.98,0.03
09:30:18.639,Good,tilt,0.86,Bad,0.92,0.07
09:30:21.453,Good,hunch,0.42,Good,0.93,0.05
09:30:24.253,Good,hunch,0.69,Good,0.93,0.09
09:30:27.184,Good,hunch,0.58,Good,0.97,0.05
09:30:29.985,Good,good,0.53,Good,0.96,-0.02
